clr_optimization_v2.0.50727_32;310;2.44
ClipSrv;50;2.16
AAMWService;17;2.82
AAMW_WSC_Service_XP;5;3.2
Ashampoo Defrag Service;24;3.83
aspnet_state;103;2.89
Dot3svc;114;3.11
wuauserv;449;3.12
Browser;147;2.58
DfSdkS;182;2.97
Themes;136;3.4
Dhcp;9;3
WmdmPmSN;28;1.79
MSDTC;54;2.83
Dnscache;172;2.59
Spooler;136;3.4
Eventlog;73;2.95
EapHost;52;2.62
ERSvc;35;1.63
ALG;97;2.52
ProtectedStorage;63;3.65
hidserv;221;3.12
helpsvc;28;2.46
HTTPFilter;22;3.18
ImapiService;14;3.14
CiSvc;33;1.94
hkmsvc;48;3.13
BITS;221;2.55
PolicyAgent;76;3.28
JavaQuickStarterService;21;2.43
FastUserSwitchingCompatibility;10;2.4
WZCSVC;27;3.26
CryptSvc;72;3.4
SysmonLog;16;2.88
swprv;58;3.47
Messenger;40;1.8
napagent;88;2.85
NetTcpPortSharing;51;2.27
mnmsrvc;18;1.94
NetDDE;12;2.67
NetDDEdsdm;18;2.33
Netman;130;3.94
xmlprov;10;3.5
Nla;19;2.95
NtLmSsp;9;2.89
NVSvc;6;3
OCS INVENTORY;3;3
RSVP;14;3.21
RasMan;59;2.63
rpcapd;6;2.83
RemoteRegistry;118;1.7
RemoteAccess;61;2.54
RpcLocator;47;2.51
seclogon;57;2.49
LanmanServer;69;3.3
ShellHWDetection;57;2.95
wscsvc;168;2.88
RDSessMgr;20;1.6
SCardSvr;88;2.82
SSDPSRV;61;2.18
SENS;65;2.88
srservice;33;3.73
Schedule;148;0.82
LmHosts;9;3
TapiSrv;102;1.91
TlntSvr;38;2.5
Wmi;16;2.06
upnphost;63;2.97
UPS;23;2.22
RasAuto;45;3.04
dmserver;16;3.69
dmadmin;13;3.31
VSS;75;3.61
Alerter;53;1.91
WebClient;72;2.63
NtmsSvc;9;3.67
AudioSrv;11;3.36
idsvc;53;2.43
msiserver;140;3.56
wlidsvc;71;3.06
FontCache3.0.0.0;54;2.39
UMWdf;12;1.75
stisvc;78;3.24
SharedAccess;101;3.14
W32Time;125;3.31
wmiApSrv;134;2.7
TrkWks;97;2.58
AxInstSV;379;3.19
SensrSvc;135;2.61
VaultSvc;93;3
UmRdpService;31;3.03
AeLookupSvc;147;2.39
AppIDSvc;66;3.02
Appinfo;109;3.06
Apple Mobile Device;84;2.06
AAMW_WSC_Service_Vista;11;3.64
Wlansvc;138;3.8
AntiVirService;134;3.63
AntiVirSchedulerService;74;2.81
BFE;68;3.47
BDESVC;78;2.95
BlackfishSQL;3;3
wbengine;41;3.41
BthServ;132;2.83
Bonjour Service;128;2.07
PeerDistSvc;96;2.71
KeyIso;55;2.95
CmdAgent;54;4.44
defragsvc;83;3.11
WdiServiceHost;57;3.11
DPS;65;3.14
WdiSystemHost;50;3.1
WPDBusEnum;38;2.34
UI0Detect;41;3.24
Fax;8;2.38
fdPHost;44;2.82
FDResPub;36;3.06
Gizmo Central;3;3
HomeGroupProvider;37;3.38
HomeGroupListener;33;3.12
IKEEXT;44;3.34
iphlpsvc;71;3.63
iPod Service;18;2.44
SessionEnv;36;2.19
KtmRm;34;2.76
PerfHost;22;2.45
pla;39;2.95
Mcx2Svc;37;3.11
clr_optimization_v2.0.50727_64;37;2.81
MSiSCSI;35;2.8
MMCSS;48;2.92
netprofm;35;3.49
nsi;49;3.69
NlaSvc;41;3.39
Stereo Service;38;2.89
ose;34;2.41
CscService;27;2.3
WPCSvc;67;1.82
PNRPsvc;32;3.22
p2psvc;46;2.8
p2pimsvc;33;2.97
IPBusEnum;28;3.07
PNRPAutoReg;28;2.79
PcaSvc;46;3.3
SCPolicySvc;7;3.29
RpcEptMapper;43;3.05
THREADORDER;29;3.34
UxSms;56;3.63
SNMPTRAP;41;2.54
sppsvc;63;3.33
sppuinotify;18;2.94
SstpSvc;31;3.84
Power;98;4.11
SysMain;167;3.55
TabletInputService;64;2.2
TBS;24;2.21
wercplsupport;43;2.44
QWAVE;58;2.93
lltdsvc;34;3.32
EFS;49;3.08
vds;38;3.47
msvsmon80;9;3
msvsmon90;4;3.25
ufad-ws60;4;3.25
VMAuthdService;8;3.25
VMnetDHCP;6;3.17
VMware NAT Service;8;3.25
WinDefend;184;2.61
wudfsvc;9;3
ehRecvr;36;3.03
ehSched;26;3.38
WMPNetworkSvc;98;2.62
TrustedInstaller;70;2.57
WSearch;213;2.8
AudioEndpointBuilder;6;3
WbioSrvc;55;2.07
FontCache;40;2.88
Wecsvc;38;2.45
WcsPlugInService;41;3.12
WerSvc;94;2.38
MpsSvc;224;3.48
WinRM;40;3.03
SDRSVC;84;3.26
wcncsvc;43;2.81
WinHttpAutoProxySvc;53;3.08
WwanSvc;75;3.11
CertPropSvc;50;2.34
InputDirector;9;3
IDVistaService;6;3
StorSvc;8;2.5
AcrSch2Svc;60;3.08
AMD External Events Utility;129;3.19
DFSR;6;3.17
VBurnSecs;4;3.5
EMDMgmt;15;3.13
SLUINotify;8;2.25
slsvc;8;3.63
TryAndDecideService;4;2.5
Ati HotKey Poller;72;2.17
BsMailProxy;4;3.25
AEADIFilters;6;2.33
O&O Defrag;10;4.1
RalinkRegistryWriter;6;3.5
afcdpsrv;52;3.9
