;ashampoo GmbH & Co. KG;ASHSNAP.EXE;Ashampoo Snap 3;73;4.38
;NVIDIA Corporation;NVMCTRAY.DLL;NVIDIA Media Center Library;35;2.46
;Avira GmbH;AVGNT.EXE;Antivirus System Tray Tool;110;4.44
2D3E6C01DC9F5A83C2894712D57F0F63;;INPUTDIRECTOR.EXE;Input Director;11;5
;Realtek Semiconductor;RTHDVCPL.EXE;Realtek HD Audio Manager;136;4.43
;Microsoft Corporation;IEFRAME.DLL;Internet Browser;287;2.96
;Adobe Systems, Inc.;FLASH10C.OCX;Adobe Flash Player 10.0 r32;8;2
;COMODO;CFP.EXE;COMODO Internet Security;142;4.77
;ALWIL Software;ASHDISP.EXE;avast! service GUI component;10;4.6
0000000000000000;Microsoft Corporation;MSMSGS.EXE;Windows Messenger;32;2.12
0000000000000000;Adobe Systems Incorporated;ADOBEARM.EXE;Adobe Reader and Acrobat Manager;585;2.98
0000000000000000;Realtek Semiconductor Corp.;RTHDCPL.EXE;Realtek HD Audio Control Panel;45;4.24
1B17E09C1223F6D17336D2DD7A1AF4F4;;IMSCINST.EXE;;5;2.4
0000000000000000;Microsoft Corporation;CTFMON.EXE;CTF Loader;206;2.73
0000000000000000;Google Inc.;GOOGLEUPDATE.EXE;Google Installer;133;3.11
0000000000000000;Google Inc.;NPGOOGLEONECLICK8.DLL;Google Update;14;2
0000000000000000;Sun Microsystems, Inc.;JP2SSV.DLL;Java(TM) Platform SE binary;76;2.53
0000000000000000;Sun Microsystems, Inc.;JQS_PLUGIN.DLL;Java(TM) Quick Starter binary;29;2.07
0000000000000000;Microsoft Corporation;MSNMSGR.EXE;Windows Live Messenger;60;3.2
9F674BDC0D2D93029C1C726428813294;;GDRIVE.DLL;Mount ISOs, encrypted hard drive images to a virtual drive;1;4
;Apple Inc.;QTTASK.EXE;QuickTime Task;97;2.11
;Microsoft Corporation;SIDEBAR.EXE;Windows-Minianwendungen;264;4.14
;Arainia Solutions;GIZMO.EXE;Gizmo Central;4;4.25
;Acronis;SCHEDHLP.EXE;Acronis Scheduler Helper;79;4.23
;Nullsoft, Inc.;WINAMPA.EXE;Winamp Agent;34;3.5
;Microsoft Corporation;WMP.DLL;Windows Media Player Core;211;2.64
;Logitech Inc.;LGDCORE.EXE;Logitech G-series Profiler;5;3.6
;Microsoft Corporation;IMEKRMIG.EXE;Microsoft Korean IME 2002;1;5
;Babylon Ltd.;BABYLON.EXE;Babylon Information Tool;16;3.75
;Logitech Inc.;LGDEVAGT.EXE;Logitech GamePanel Agent;3;5
;NVIDIA Corporation;NVCPL.DLL;NVIDIA Display Properties Extension;61;3.26
;Axis Communications;AXISMEDIACONTROLEMB.DLL;AXIS Media Control;1;5
;Adobe Systems Incorporated;READER_SL.EXE;Adobe Acrobat SpeedLauncher;115;2.55
;sw4you, Siegfried Weckmann;HARDCOPY.EXE;Hardcopy - Drucken Fenster/Bildschirminhalt, Print Window/Screen;12;4.25
;Emsi Software GmbH;A2GUARD.EXE;a-squared Guard;14;5
;Microsoft Corporation;MSASCUI.EXE;Windows Defender User Interface;51;2.92
;Skype Technologies S.A.;SKYPE.EXE;Skype;281;4.04
;Acresso Corporation;ISUSPM.EXE;Acresso Software Manager;9;2.11
